individual,type,date,outcome
1,Anemone,11/3/2021,0
2,Anemone,11/3/2021,0
3,Anemone,11/3/2021,0
4,Anemone,11/3/2021,0
5,Anemone,11/3/2021,1
6,Anemone,11/3/2021,1
7,Anemone,11/3/2021,0
8,Anemone,11/3/2021,1
9,Anemone,11/3/2021,1
10,Anemone,11/3/2021,0
11,Anemone,11/3/2021,1
12,Anemone,11/3/2021,0
13,Anemone,11/3/2021,1
14,Anemone,11/3/2021,0
15,Anemone,11/3/2021,1
16,Anemone,11/3/2021,0
17,Empty,11/3/2021,1
18,Empty,11/3/2021,1
19,Empty,11/3/2021,1
20,Empty,11/3/2021,1
21,Empty,11/3/2021,1
22,Empty,11/3/2021,1
23,Empty,11/3/2021,1
24,Empty,11/3/2021,1
25,Empty,11/3/2021,1
26,Empty,11/3/2021,1
27,Empty,11/3/2021,1
28,Empty,11/3/2021,1
29,Empty,11/3/2021,1
30,Empty,11/3/2021,1
31,Empty,11/3/2021,1
32,Empty,11/3/2021,0
33,Anemone,11/6/2021,0
34,Anemone,11/6/2021,0
35,Anemone,11/6/2021,0
36,Anemone,11/6/2021,0
37,Anemone,11/6/2021,0
38,Anemone,11/6/2021,0
39,Anemone,11/6/2021,0
40,Anemone,11/6/2021,0
41,Anemone,11/6/2021,0
42,Anemone,11/6/2021,0
43,Anemone,11/6/2021,0
44,Anemone,11/6/2021,0
45,Anemone,11/6/2021,0
46,Anemone,11/6/2021,1
47,Anemone,11/6/2021,0
48,Anemone,11/6/2021,0
49,Empty,11/6/2021,1
50,Empty,11/6/2021,1
51,Empty,11/6/2021,1
52,Empty,11/6/2021,1
53,Empty,11/6/2021,1
54,Empty,11/6/2021,1
55,Empty,11/6/2021,1
56,Empty,11/6/2021,1
57,Empty,11/6/2021,1
58,Empty,11/6/2021,1
59,Empty,11/6/2021,1
60,Empty,11/6/2021,1
61,Empty,11/6/2021,1
62,Empty,11/6/2021,1
63,Empty,11/6/2021,1
64,Empty,11/6/2021,0
